ENGINE|ID|CATEGORIES|TAGS|THEOREM|THEOREM_DESCRIPTION|PROOF_NAME|PROOF_VALUE|PROOF_UNIT
ClickHouse|0|PLAN, TEST|CONFIG|CONFIG-VERSION|Version of Engine|version|26.1.4.35|version
ClickHouse|2|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|SQL|"/* TPC-H Q13 */
SELECT c_count,
       COUNT(*) AS custdist
FROM (SELECT c_custkey,
             COUNT(o_orderkey)
      FROM tpch.customer
      LEFT OUTER JOIN tpch.orders
          ON
          c_custkey = o_custkey
              AND o_comment NOT LIKE ' % special % requests % '
      GROUP BY c_custkey) AS c_orders (c_custkey, c_count)
GROUP BY c_count
ORDER BY custdist DESC,
         c_count DESC"|Query
ClickHouse|3|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Join|1500000|Rows
ClickHouse|4|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Aggregate|1599996|Rows
ClickHouse|5|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Sort|41|Rows
ClickHouse|6|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Distribute|0|Rows
ClickHouse|7|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Seek|0|Rows
ClickHouse|8|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Scan|1650000|Rows
ClickHouse|9|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Hash|1500000|Rows
ClickHouse|10|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join <16x|0|Magnitude
ClickHouse|11|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join -8x|0|Magnitude
ClickHouse|12|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join -4x|0|Magnitude
ClickHouse|13|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join -2x|0|Magnitude
ClickHouse|14|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join =|0|Magnitude
ClickHouse|15|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join +2x|0|Magnitude
ClickHouse|16|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join +4x|0|Magnitude
ClickHouse|17|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join +8x|0|Magnitude
ClickHouse|18|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Join >16x|0|Magnitude
ClickHouse|19|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Aggregate <16x|0|Magnitude
ClickHouse|20|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Aggregate -8x|0|Magnitude
ClickHouse|21|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Aggregate -4x|0|Magnitude
ClickHouse|22|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Aggregate -2x|0|Magnitude
ClickHouse|23|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Aggregate =|0|Magnitude
ClickHouse|24|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Aggregate +2x|0|Magnitude
ClickHouse|25|PLAN|TPC-H|TPCH-Q13|TPC-H Q13 Analysis|Mis-estimate Aggregate +4x|0|Magnitude
