ENGINE|ID|CATEGORIES|TAGS|THEOREM|THEOREM_DESCRIPTION|PROOF_NAME|PROOF_VALUE|PROOF_UNIT
DuckDB|0|PLAN|CONFIG|CONFIG-VERSION|Version of Engine|version|1.3.2|version
DuckDB|2|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Join|0|Rows
DuckDB|3|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Aggregate|5642532|Rows
DuckDB|4|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Sort|4|Rows
DuckDB|5|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Scan|5642532|Rows
DuckDB|6|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join <16x|0|Magnitude
DuckDB|7|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join -8x|0|Magnitude
DuckDB|8|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join -4x|0|Magnitude
DuckDB|9|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join -2x|0|Magnitude
DuckDB|10|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join =|0|Magnitude
DuckDB|11|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join +2x|0|Magnitude
DuckDB|12|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join +4x|0|Magnitude
DuckDB|13|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join +8x|0|Magnitude
DuckDB|14|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Join >16x|0|Magnitude
DuckDB|15|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate <16x|0|Magnitude
DuckDB|16|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate -8x|0|Magnitude
DuckDB|17|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate -4x|0|Magnitude
DuckDB|18|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate -2x|0|Magnitude
DuckDB|19|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate =|0|Magnitude
DuckDB|20|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate +2x|0|Magnitude
DuckDB|21|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate +4x|0|Magnitude
DuckDB|22|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate +8x|0|Magnitude
DuckDB|23|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Aggregate >16x|1|Magnitude
DuckDB|24|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Sort <16x|0|Magnitude
DuckDB|25|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Sort -8x|0|Magnitude
DuckDB|26|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Sort -4x|0|Magnitude
DuckDB|27|PLAN|TPC-H|TPCH-Q01|TPC-H Q01 Analysis|Mis-estimate Sort -2x|0|Magnitude
